"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 20 19:16:35 GMT 2025","Mon Jan 20 19:16:35 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the login page."
"failed","Mon Jan 20 19:16:36 GMT 2025","Mon Jan 20 19:17:00 GMT 2025","23981","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow","This test attempts to log into the website using a login and a password. Fails if any error happens."
"failed","Mon Jan 20 19:16:21 GMT 2025","Mon Jan 20 19:16:28 GMT 2025","6598","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:35 GMT 2025","Mon Jan 20 19:16:35 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the login page."
"failed","Mon Jan 20 19:16:28 GMT 2025","Mon Jan 20 19:16:34 GMT 2025","6588","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:35 GMT 2025","Mon Jan 20 19:16:35 GMT 2025","5","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:14 GMT 2025","Mon Jan 20 19:16:14 GMT 2025","57","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:21 GMT 2025","Mon Jan 20 19:16:21 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:14 GMT 2025","Mon Jan 20 19:16:14 GMT 2025","295","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator0]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:35 GMT 2025","Mon Jan 20 19:16:35 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:35 GMT 2025","Mon Jan 20 19:16:36 GMT 2025","928","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]","This test attempts to log in with invalid email=[not-email], and checks for error messages."
"passed","Mon Jan 20 19:16:21 GMT 2025","Mon Jan 20 19:16:21 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:36 GMT 2025","Mon Jan 20 19:16:36 GMT 2025","489","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]","This test attempts to log in with invalid email=[fake@emailcom], and checks for error messages."
"failed","Mon Jan 20 19:16:14 GMT 2025","Mon Jan 20 19:16:21 GMT 2025","6552","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 19:16:35 GMT 2025","Mon Jan 20 19:16:35 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the login page."
