"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 23 12:00:00 GMT 2025","Thu Jan 23 12:00:00 GMT 2025","40","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the Signup page."
"passed","Thu Jan 23 11:58:15 GMT 2025","Thu Jan 23 11:58:15 GMT 2025","5","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 12:00:07 GMT 2025","Thu Jan 23 12:00:07 GMT 2025","8","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the Signup page."
"passed","Thu Jan 23 12:00:00 GMT 2025","Thu Jan 23 12:00:00 GMT 2025","94","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the Signup page."
"passed","Thu Jan 23 11:59:59 GMT 2025","Thu Jan 23 11:59:59 GMT 2025","13","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator0]","This test validates the presence of elements on the Signup page."
"passed","Thu Jan 23 12:00:07 GMT 2025","Thu Jan 23 12:00:07 GMT 2025","8","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the Signup page."
"failed","Thu Jan 23 11:58:23 GMT 2025","Thu Jan 23 11:58:56 GMT 2025","33263","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow","This test attempts to log into the website using a login and a password. Fails if any error happens."
"passed","Thu Jan 23 11:58:15 GMT 2025","Thu Jan 23 11:58:15 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:59:28 GMT 2025","Thu Jan 23 11:59:57 GMT 2025","28679","tests.product_page","test_product_page","TestSignupPage","","","test_buy_product_page","Test the buy functionality on the product page. Asserts that the user can search for a product, navigate to its page, and proceed to checkout as a guest."
"passed","Thu Jan 23 11:58:15 GMT 2025","Thu Jan 23 11:58:15 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:57:55 GMT 2025","Thu Jan 23 11:57:55 GMT 2025","98","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:58:15 GMT 2025","Thu Jan 23 11:58:18 GMT 2025","3246","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]","This test attempts to log in with invalid email=[not-email], and checks for error messages."
"passed","Thu Jan 23 11:58:59 GMT 2025","Thu Jan 23 11:59:09 GMT 2025","10356","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[iphone 16 case-element_to_present0]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"passed","Thu Jan 23 11:58:02 GMT 2025","Thu Jan 23 11:58:02 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the login page."
"broken","Thu Jan 23 12:00:20 GMT 2025","Thu Jan 23 12:00:35 GMT 2025","15576","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs1-Please enter your first name]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Thu Jan 23 11:57:54 GMT 2025","Thu Jan 23 11:57:55 GMT 2025","554","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator0]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 12:00:00 GMT 2025","Thu Jan 23 12:00:00 GMT 2025","28","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the Signup page."
"passed","Thu Jan 23 11:58:02 GMT 2025","Thu Jan 23 11:58:02 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:59:11 GMT 2025","Thu Jan 23 11:59:27 GMT 2025","16028","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[xdbvvwoqybujzpgwrzgmdeidpbfrjwehcqxxmgmy-element_to_present1]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"passed","Thu Jan 23 12:00:00 GMT 2025","Thu Jan 23 12:00:00 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the Signup page."
"passed","Thu Jan 23 11:58:18 GMT 2025","Thu Jan 23 11:58:23 GMT 2025","4387","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]","This test attempts to log in with invalid email=[fake@emailcom], and checks for error messages."
"passed","Thu Jan 23 11:58:15 GMT 2025","Thu Jan 23 11:58:15 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the login page."
"failed","Thu Jan 23 12:00:00 GMT 2025","Thu Jan 23 12:00:07 GMT 2025","6553","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the Signup page."
"failed","Thu Jan 23 11:57:55 GMT 2025","Thu Jan 23 11:58:02 GMT 2025","6574","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the login page."
"failed","Thu Jan 23 11:58:08 GMT 2025","Thu Jan 23 11:58:15 GMT 2025","6543","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:58:15 GMT 2025","Thu Jan 23 11:58:15 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 12:00:00 GMT 2025","Thu Jan 23 12:00:00 GMT 2025","12","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the Signup page."
"broken","Thu Jan 23 12:00:07 GMT 2025","Thu Jan 23 12:00:19 GMT 2025","12601","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs0-Email address is invalid]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Thu Jan 23 12:00:07 GMT 2025","Thu Jan 23 12:00:07 GMT 2025","8","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the Signup page."
"broken","Thu Jan 23 12:00:35 GMT 2025","Thu Jan 23 12:00:50 GMT 2025","14968","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs2-at least 8 characters]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Thu Jan 23 12:00:07 GMT 2025","Thu Jan 23 12:00:07 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the Signup page."
"passed","Thu Jan 23 12:00:00 GMT 2025","Thu Jan 23 12:00:00 GMT 2025","10","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the Signup page."
"broken","Thu Jan 23 12:00:50 GMT 2025","Thu Jan 23 12:01:06 GMT 2025","15211","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup[attrs0]","This test attempts to signup with valid attributes."
"failed","Thu Jan 23 11:58:02 GMT 2025","Thu Jan 23 11:58:08 GMT 2025","6558","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the login page."
