"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 23 11:54:16 GMT 2025","Thu Jan 23 11:54:20 GMT 2025","3461","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]","This test attempts to log in with invalid email=[not-email], and checks for error messages."
"passed","Thu Jan 23 11:54:16 GMT 2025","Thu Jan 23 11:54:16 GMT 2025","5","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:54:20 GMT 2025","Thu Jan 23 11:54:24 GMT 2025","4260","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]","This test attempts to log in with invalid email=[fake@emailcom], and checks for error messages."
"failed","Thu Jan 23 11:54:09 GMT 2025","Thu Jan 23 11:54:16 GMT 2025","6570","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the login page."
"failed","Thu Jan 23 11:54:24 GMT 2025","Thu Jan 23 11:54:56 GMT 2025","32471","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow","This test attempts to log into the website using a login and a password. Fails if any error happens."
"passed","Thu Jan 23 11:53:56 GMT 2025","Thu Jan 23 11:53:56 GMT 2025","12","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:54:16 GMT 2025","Thu Jan 23 11:54:16 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:54:16 GMT 2025","Thu Jan 23 11:54:16 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:55:11 GMT 2025","Thu Jan 23 11:55:25 GMT 2025","14370","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[zdwvpcrrvrxclnypjtpujsefvgrbdknkaysadejd-element_to_present1]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"passed","Thu Jan 23 11:54:03 GMT 2025","Thu Jan 23 11:54:03 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:54:16 GMT 2025","Thu Jan 23 11:54:16 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:53:55 GMT 2025","Thu Jan 23 11:53:55 GMT 2025","107","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator0]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:54:03 GMT 2025","Thu Jan 23 11:54:03 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:54:59 GMT 2025","Thu Jan 23 11:55:10 GMT 2025","10346","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[iphone 16 case-element_to_present0]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"failed","Thu Jan 23 11:53:56 GMT 2025","Thu Jan 23 11:54:02 GMT 2025","6572","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the login page."
"failed","Thu Jan 23 11:54:03 GMT 2025","Thu Jan 23 11:54:09 GMT 2025","6601","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the login page."
"passed","Thu Jan 23 11:54:16 GMT 2025","Thu Jan 23 11:54:16 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the login page."
