"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 18 11:41:06 GMT 2025","Sat Jan 18 11:41:06 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]",""
"failed","Sat Jan 18 11:41:13 GMT 2025","Sat Jan 18 11:41:19 GMT 2025","6604","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]",""
"passed","Sat Jan 18 11:41:19 GMT 2025","Sat Jan 18 11:41:20 GMT 2025","841","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]",""
"failed","Sat Jan 18 11:41:06 GMT 2025","Sat Jan 18 11:41:12 GMT 2025","6599","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator5]",""
"passed","Sat Jan 18 11:41:20 GMT 2025","Sat Jan 18 11:41:21 GMT 2025","442","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]",""
"passed","Sat Jan 18 11:41:19 GMT 2025","Sat Jan 18 11:41:19 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]",""
"passed","Sat Jan 18 11:40:59 GMT 2025","Sat Jan 18 11:40:59 GMT 2025","64","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator0]",""
"passed","Sat Jan 18 11:41:19 GMT 2025","Sat Jan 18 11:41:19 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]",""
"failed","Sat Jan 18 11:40:59 GMT 2025","Sat Jan 18 11:41:06 GMT 2025","6637","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]",""
"failed","Sat Jan 18 11:41:21 GMT 2025","Sat Jan 18 11:41:44 GMT 2025","23573","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow",""
"passed","Sat Jan 18 11:41:19 GMT 2025","Sat Jan 18 11:41:19 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]",""
"passed","Sat Jan 18 11:41:19 GMT 2025","Sat Jan 18 11:41:19 GMT 2025","5","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]",""
"passed","Sat Jan 18 11:40:59 GMT 2025","Sat Jan 18 11:40:59 GMT 2025","10","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]",""
"passed","Sat Jan 18 11:41:06 GMT 2025","Sat Jan 18 11:41:06 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]",""
"passed","Sat Jan 18 11:41:19 GMT 2025","Sat Jan 18 11:41:19 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]",""
