"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 22 13:59:26 GMT 2025","Wed Jan 22 13:59:41 GMT 2025","14644","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup[attrs0]","This test attempts to signup with valid attributes."
"passed","Wed Jan 22 13:56:58 GMT 2025","Wed Jan 22 13:57:01 GMT 2025","3129","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]","This test attempts to log in with invalid email=[not-email], and checks for error messages."
"passed","Wed Jan 22 13:58:38 GMT 2025","Wed Jan 22 13:58:38 GMT 2025","12","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the Signup page."
"passed","Wed Jan 22 13:58:38 GMT 2025","Wed Jan 22 13:58:38 GMT 2025","12","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the Signup page."
"passed","Wed Jan 22 13:56:58 GMT 2025","Wed Jan 22 13:56:58 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the login page."
"failed","Wed Jan 22 13:58:38 GMT 2025","Wed Jan 22 13:58:44 GMT 2025","6553","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the Signup page."
"passed","Wed Jan 22 13:58:45 GMT 2025","Wed Jan 22 13:58:45 GMT 2025","8","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the Signup page."
"passed","Wed Jan 22 13:56:38 GMT 2025","Wed Jan 22 13:56:38 GMT 2025","50","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the login page."
"failed","Wed Jan 22 13:56:52 GMT 2025","Wed Jan 22 13:56:58 GMT 2025","6572","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 13:57:53 GMT 2025","Wed Jan 22 13:58:08 GMT 2025","15395","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[egqrusxqawxogeruyarnyzcswjrrbmubdcbdhstt-element_to_present1]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"passed","Wed Jan 22 13:58:38 GMT 2025","Wed Jan 22 13:58:38 GMT 2025","8","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the Signup page."
"passed","Wed Jan 22 13:56:58 GMT 2025","Wed Jan 22 13:56:58 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 13:56:45 GMT 2025","Wed Jan 22 13:56:45 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 13:56:58 GMT 2025","Wed Jan 22 13:56:58 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 13:56:58 GMT 2025","Wed Jan 22 13:56:58 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the login page."
