"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 18 10:57:30 GMT 2025","Sat Jan 18 10:57:54 GMT 2025","23679","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow",""
"passed","Sat Jan 18 10:57:29 GMT 2025","Sat Jan 18 10:57:29 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]",""
"passed","Sat Jan 18 10:57:29 GMT 2025","Sat Jan 18 10:57:29 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]",""
"passed","Sat Jan 18 10:57:29 GMT 2025","Sat Jan 18 10:57:30 GMT 2025","835","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]",""
"passed","Sat Jan 18 10:57:08 GMT 2025","Sat Jan 18 10:57:09 GMT 2025","425","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator0]",""
"passed","Sat Jan 18 10:57:09 GMT 2025","Sat Jan 18 10:57:09 GMT 2025","58","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]",""
"passed","Sat Jan 18 10:57:16 GMT 2025","Sat Jan 18 10:57:16 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]",""
"passed","Sat Jan 18 10:57:29 GMT 2025","Sat Jan 18 10:57:29 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]",""
"passed","Sat Jan 18 10:57:29 GMT 2025","Sat Jan 18 10:57:29 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]",""
"passed","Sat Jan 18 10:57:29 GMT 2025","Sat Jan 18 10:57:29 GMT 2025","5","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]",""
"passed","Sat Jan 18 10:57:30 GMT 2025","Sat Jan 18 10:57:30 GMT 2025","485","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]",""
"failed","Sat Jan 18 10:57:16 GMT 2025","Sat Jan 18 10:57:22 GMT 2025","6592","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator5]",""
"failed","Sat Jan 18 10:57:22 GMT 2025","Sat Jan 18 10:57:29 GMT 2025","6582","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]",""
"passed","Sat Jan 18 10:57:16 GMT 2025","Sat Jan 18 10:57:16 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]",""
"failed","Sat Jan 18 10:57:09 GMT 2025","Sat Jan 18 10:57:16 GMT 2025","6551","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]",""
