"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 22 14:07:34 GMT 2025","Wed Jan 22 14:07:40 GMT 2025","6608","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 14:09:42 GMT 2025","Wed Jan 22 14:09:42 GMT 2025","10","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the Signup page."
"passed","Wed Jan 22 14:07:54 GMT 2025","Wed Jan 22 14:07:54 GMT 2025","5","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 14:09:06 GMT 2025","Wed Jan 22 14:09:33 GMT 2025","27190","tests.product_page","test_product_page","TestSignupPage","","","test_buy_product_page","Test the buy functionality on the product page. Asserts that the user can search for a product, navigate to its page, and proceed to checkout as a guest."
"passed","Wed Jan 22 14:08:37 GMT 2025","Wed Jan 22 14:08:47 GMT 2025","9825","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[iphone 16 case-element_to_present0]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"passed","Wed Jan 22 14:09:35 GMT 2025","Wed Jan 22 14:09:35 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the Signup page."
"failed","Wed Jan 22 14:07:47 GMT 2025","Wed Jan 22 14:07:54 GMT 2025","6621","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 14:07:54 GMT 2025","Wed Jan 22 14:07:54 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 14:07:41 GMT 2025","Wed Jan 22 14:07:41 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 14:09:42 GMT 2025","Wed Jan 22 14:09:42 GMT 2025","8","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the Signup page."
"broken","Wed Jan 22 14:09:42 GMT 2025","Wed Jan 22 14:09:56 GMT 2025","13886","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs0-Email address is invalid]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Wed Jan 22 14:07:54 GMT 2025","Wed Jan 22 14:07:54 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the login page."
"passed","Wed Jan 22 14:07:54 GMT 2025","Wed Jan 22 14:07:58 GMT 2025","3402","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]","This test attempts to log in with invalid email=[not-email], and checks for error messages."
"passed","Wed Jan 22 14:09:35 GMT 2025","Wed Jan 22 14:09:35 GMT 2025","168","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the Signup page."
"passed","Wed Jan 22 14:07:58 GMT 2025","Wed Jan 22 14:08:02 GMT 2025","4288","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]","This test attempts to log in with invalid email=[fake@emailcom], and checks for error messages."
"passed","Wed Jan 22 14:09:35 GMT 2025","Wed Jan 22 14:09:35 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the Signup page."
"broken","Wed Jan 22 14:10:26 GMT 2025","Wed Jan 22 14:10:40 GMT 2025","13710","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup[attrs0]","This test attempts to signup with valid attributes."
