"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 20 20:35:55 GMT 2025","Mon Jan 20 20:36:01 GMT 2025","6596","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 20:36:28 GMT 2025","Mon Jan 20 20:36:28 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the Signup page."
"passed","Mon Jan 20 20:36:28 GMT 2025","Mon Jan 20 20:36:28 GMT 2025","10","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the Signup page."
"broken","Mon Jan 20 20:36:31 GMT 2025","Mon Jan 20 20:36:33 GMT 2025","1958","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs1-Please enter your first name]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Mon Jan 20 20:36:02 GMT 2025","Mon Jan 20 20:36:02 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 20:36:29 GMT 2025","Mon Jan 20 20:36:29 GMT 2025","23","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the Signup page."
"failed","Mon Jan 20 20:36:03 GMT 2025","Mon Jan 20 20:36:26 GMT 2025","23428","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow","This test attempts to log into the website using a login and a password. Fails if any error happens."
"passed","Mon Jan 20 20:36:02 GMT 2025","Mon Jan 20 20:36:03 GMT 2025","481","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]","This test attempts to log in with invalid email=[fake@emailcom], and checks for error messages."
"passed","Mon Jan 20 20:36:28 GMT 2025","Mon Jan 20 20:36:28 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the Signup page."
"passed","Mon Jan 20 20:35:48 GMT 2025","Mon Jan 20 20:35:48 GMT 2025","7","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 20:36:29 GMT 2025","Mon Jan 20 20:36:29 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the Signup page."
"passed","Mon Jan 20 20:36:29 GMT 2025","Mon Jan 20 20:36:29 GMT 2025","23","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the Signup page."
"passed","Mon Jan 20 20:36:02 GMT 2025","Mon Jan 20 20:36:02 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the login page."
"broken","Mon Jan 20 20:36:29 GMT 2025","Mon Jan 20 20:36:31 GMT 2025","2107","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs0-Email address is invalid]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Mon Jan 20 20:36:28 GMT 2025","Mon Jan 20 20:36:29 GMT 2025","268","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the Signup page."
"passed","Mon Jan 20 20:36:02 GMT 2025","Mon Jan 20 20:36:02 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the login page."
"passed","Mon Jan 20 20:36:29 GMT 2025","Mon Jan 20 20:36:29 GMT 2025","91","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the Signup page."
