"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 21 14:29:52 GMT 2025","Tue Jan 21 14:30:07 GMT 2025","14545","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[ojrnelwongouazwxetttmleycejhswquqtvttfqh-element_to_present1]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"failed","Tue Jan 21 14:28:51 GMT 2025","Tue Jan 21 14:28:57 GMT 2025","6563","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the login page."
"passed","Tue Jan 21 14:28:35 GMT 2025","Tue Jan 21 14:28:35 GMT 2025","361","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator0]","This test validates the presence of elements on the login page."
"broken","Tue Jan 21 14:31:25 GMT 2025","Tue Jan 21 14:31:40 GMT 2025","15024","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup[attrs0]","This test attempts to signup with valid attributes."
"passed","Tue Jan 21 14:28:58 GMT 2025","Tue Jan 21 14:28:58 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the login page."
"failed","Tue Jan 21 14:28:44 GMT 2025","Tue Jan 21 14:28:51 GMT 2025","6603","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the login page."
"passed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:36 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the Signup page."
"broken","Tue Jan 21 14:30:55 GMT 2025","Tue Jan 21 14:31:09 GMT 2025","13787","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs1-Please enter your first name]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:36 GMT 2025","12","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator6]","This test validates the presence of elements on the Signup page."
"failed","Tue Jan 21 14:29:05 GMT 2025","Tue Jan 21 14:29:38 GMT 2025","32290","tests.login_page","test_login_page","TestLoginPage","","","test_login_full_flow","This test attempts to log into the website using a login and a password. Fails if any error happens."
"passed","Tue Jan 21 14:30:42 GMT 2025","Tue Jan 21 14:30:42 GMT 2025","10","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:30:42 GMT 2025","Tue Jan 21 14:30:42 GMT 2025","21","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:28:58 GMT 2025","Tue Jan 21 14:28:58 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the login page."
"failed","Tue Jan 21 14:28:35 GMT 2025","Tue Jan 21 14:28:44 GMT 2025","8439","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the login page."
"passed","Tue Jan 21 14:28:44 GMT 2025","Tue Jan 21 14:28:44 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator3]","This test validates the presence of elements on the login page."
"passed","Tue Jan 21 14:29:01 GMT 2025","Tue Jan 21 14:29:05 GMT 2025","4333","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[fake@emailcom]","This test attempts to log in with invalid email=[fake@emailcom], and checks for error messages."
"passed","Tue Jan 21 14:28:44 GMT 2025","Tue Jan 21 14:28:44 GMT 2025","8","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the login page."
"passed","Tue Jan 21 14:30:08 GMT 2025","Tue Jan 21 14:30:34 GMT 2025","25601","tests.product_page","test_product_page","TestSignupPage","","","test_buy_product_page","Test the buy functionality on the product page. Asserts that the user can search for a product, navigate to its page, and proceed to checkout as a guest."
"passed","Tue Jan 21 14:30:42 GMT 2025","Tue Jan 21 14:30:42 GMT 2025","10","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator8]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:28:35 GMT 2025","Tue Jan 21 14:28:35 GMT 2025","33","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the login page."
"failed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:42 GMT 2025","5187","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:36 GMT 2025","8","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator4]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:30:42 GMT 2025","Tue Jan 21 14:30:42 GMT 2025","10","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator10]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:28:58 GMT 2025","Tue Jan 21 14:28:58 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator9]","This test validates the presence of elements on the login page."
"passed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:36 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator5]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:29:40 GMT 2025","Tue Jan 21 14:29:51 GMT 2025","10330","tests.product_page","test_product_page","TestSignupPage","","","test_search_product[iphone 16 case-element_to_present0]","Test the search functionality on the product page. Asserts that the specified element is present on the page after performing the search"
"passed","Tue Jan 21 14:28:57 GMT 2025","Tue Jan 21 14:28:58 GMT 2025","9","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator7]","This test validates the presence of elements on the login page."
"passed","Tue Jan 21 14:28:58 GMT 2025","Tue Jan 21 14:28:58 GMT 2025","5","tests.login_page","test_login_page","TestLoginPage","","","test_validate_elements_login_page[locator11]","This test validates the presence of elements on the login page."
"broken","Tue Jan 21 14:31:09 GMT 2025","Tue Jan 21 14:31:24 GMT 2025","15317","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs2-at least 8 characters]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:36 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator2]","This test validates the presence of elements on the Signup page."
"passed","Tue Jan 21 14:28:58 GMT 2025","Tue Jan 21 14:29:01 GMT 2025","3562","tests.login_page","test_login_page","TestLoginPage","","","test_login_invalid_email[not-email]","This test attempts to log in with invalid email=[not-email], and checks for error messages."
"passed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:36 GMT 2025","11","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator0]","This test validates the presence of elements on the Signup page."
"broken","Tue Jan 21 14:30:42 GMT 2025","Tue Jan 21 14:30:55 GMT 2025","12779","tests.signup_page","test_signup_page","TestSignupPage","","","test_signup_invalid_data[attrs0-Email address is invalid]","This test attempts to signup with invalid attributes, and checks for error messages."
"passed","Tue Jan 21 14:30:36 GMT 2025","Tue Jan 21 14:30:36 GMT 2025","9","tests.signup_page","test_signup_page","TestSignupPage","","","test_validate_elements_login_page[locator1]","This test validates the presence of elements on the Signup page."
